trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
157,False,"{'a': 0.20804518235702046, 'e': 0.20804518235702046}",35,24,-4.59988574106069,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
158,False,"{'a': 0.20597509820488344, 'e': 0.20597509820488344}",20,13,-8.473233846211333,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
159,False,"{'a': 0.20392561173421342, 'e': 0.20392561173421342}",25,13,-24.423849586353448,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
160,False,"{'a': 0.20189651799465538, 'e': 0.20189651799465538}",25,5,6.868183031009807,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",1
161,False,"{'a': 0.1998876140751445, 'e': 0.1998876140751445}",30,16,-11.8381525756779,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
162,False,"{'a': 0.19789869908361465, 'e': 0.19789869908361465}",20,11,-2.5700872727099187,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
163,False,"{'a': 0.19592957412690934, 'e': 0.19592957412690934}",20,11,14.00620506814608,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.19398004229089189, 'e': 0.19398004229089189}",20,1,17.63874710636714,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
165,False,"{'a': 0.19204990862075408, 'e': 0.19204990862075408}",20,10,-4.547778432205266,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
166,False,"{'a': 0.1901389801015205, 'e': 0.1901389801015205}",30,16,0.7133434402574206,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
167,False,"{'a': 0.1882470656387468, 'e': 0.1882470656387468}",20,12,15.850988110559326,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.18637397603940997, 'e': 0.18637397603940997}",30,18,22.469822987218066,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.18451952399298926, 'e': 0.18451952399298926}",20,0,-12.106378148459868,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
170,False,"{'a': 0.18268352405273466, 'e': 0.18268352405273466}",20,11,7.932241932771218,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
171,False,"{'a': 0.1808657926171221, 'e': 0.1808657926171221}",20,0,29.43751405358784,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
